,Business Analyst,Database Administrator,Data Analyst,Data Architect,Product Manager,Data Engineer,Data Scientist
0,0.305,0.08,0.06,0.05,0.215,0.145,0.145
1,0.025,0.005,0.015,0.005,0.06,0.035,0.855
2,0.035,0.005,0.06,0.035,0.005,0.07,0.79
3,0.255,0.045,0.25,0.04,0.2,0.025,0.185
4,0.01,0.0,0.015,0.02333333333333333,0.035,0.9016666666666666,0.015
5,0.055,0.055,0.05,0.013333333333333332,0.05,0.7066666666666666,0.07
6,0.01,0.005,0.045,0.055,0.01,0.70375,0.17125
7,0.045,0.025,0.09,0.02,0.11,0.675,0.035
8,0.01,0.13,0.03,0.045,0.0,0.76,0.025
9,0.07,0.06,0.045,0.015,0.055,0.715,0.04
10,0.04166666666666667,0.055,0.6983333333333333,0.055,0.04,0.055,0.055
11,0.16,0.0,0.795,0.015,0.0,0.015,0.015
12,0.1525,0.14,0.25249999999999995,0.1125,0.02,0.215,0.1075
13,0.115,0.025,0.725,0.02,0.055,0.03,0.03
14,0.025,0.035,0.065,0.735,0.01,0.06,0.07
15,0.225,0.19,0.155,0.24,0.07,0.055,0.065
16,0.07,0.075,0.03,0.755,0.015,0.035,0.02
17,0.005,0.0,0.0,0.0,0.945,0.01,0.04
18,0.095,0.03,0.06,0.01,0.775,0.02,0.01
19,0.095,0.005,0.03,0.025,0.825,0.005,0.015
20,0.07,0.02,0.06,0.02,0.815,0.01,0.005
21,0.14,0.015,0.045,0.02,0.71,0.05,0.02
22,0.04,0.02,0.035,0.01,0.86,0.025,0.01
23,0.045,0.03,0.015,0.02,0.8,0.045,0.045
24,0.04,0.01,0.015,0.0,0.92,0.0,0.015
25,0.05,0.01,0.0,0.023333333333333334,0.87,0.021666666666666664,0.025
26,0.155,0.015,0.025,0.01,0.77,0.015,0.01
27,0.085,0.005,0.015,0.005,0.89,0.0,0.0
28,0.04,0.035,0.01,0.0,0.845,0.04,0.03
29,0.01,0.02,0.025,0.0,0.905,0.015,0.025
30,0.11166666666666666,0.03,0.018333333333333333,0.015,0.72,0.075,0.03
31,0.005,0.0,0.005,0.0,0.985,0.0,0.005
32,0.295,0.24,0.165,0.055,0.165,0.04,0.04
33,0.25,0.135,0.165,0.075,0.21,0.09999999999999998,0.065
34,0.01,0.01,0.115,0.03,0.0,0.02333333333333333,0.8116666666666665
35,0.065,0.075,0.095,0.04,0.02,0.02,0.685
36,0.12833333333333333,0.025,0.056666666666666664,0.08,0.05,0.62,0.04
37,0.01,0.0,0.015,0.02333333333333333,0.035,0.9016666666666666,0.015
38,0.0,0.005,0.0,0.025,0.0,0.965,0.005
39,0.025,0.025,0.085,0.0525,0.0,0.74,0.0725
40,0.40125,0.035,0.34875,0.045,0.02,0.065,0.085
41,0.415,0.045,0.365,0.03,0.065,0.025,0.055
42,0.05,0.03,0.73,0.01,0.115,0.02,0.045
43,0.045,0.065,0.775,0.05,0.02,0.0,0.045
44,0.03875,0.02,0.04625,0.68,0.06,0.115,0.04
45,0.01,0.025,0.025,0.77,0.0,0.13,0.04
46,0.09,0.045,0.01,0.015,0.75,0.065,0.025
47,0.09,0.33,0.08,0.105,0.15,0.16,0.085
48,0.0225,0.015,0.0375,0.015,0.0,0.012,0.898
49,0.0025,0.01,0.0575,0.025,0.0,0.035,0.87
50,0.02,0.005,0.015,0.02,0.03,0.88,0.03
51,0.06,0.035,0.115,0.102,0.05,0.345,0.293
52,0.115,0.17,0.01,0.015,0.03,0.64,0.02
53,0.085,0.025,0.055,0.015,0.01,0.655,0.155
54,0.43,0.025,0.195,0.165,0.01,0.135,0.04
55,0.08,0.065,0.78,0.02,0.04,0.01,0.005
56,0.025,0.04,0.75,0.075,0.01,0.06,0.04
57,0.025,0.08,0.06,0.74,0.005,0.065,0.025
58,0.01,0.005,0.015,0.0,0.96,0.005,0.005
59,0.015,0.0,0.005,0.0,0.97,0.005,0.005
60,0.095,0.015,0.0,0.05,0.84,0.0,0.0
61,0.235,0.005,0.0,0.005,0.74,0.015,0.0
62,0.01,0.005,0.005,0.0,0.97,0.005,0.005
63,0.04,0.845,0.05,0.02,0.035,0.005,0.005
64,0.025,0.825,0.035,0.005,0.005,0.025,0.08
65,0.008333333333333333,0.85,0.03666666666666667,0.02,0.015,0.045,0.025
66,0.0,0.905,0.015,0.045,0.015,0.02,0.0
67,0.03,0.93,0.01,0.015,0.005,0.01,0.0
68,0.07,0.025,0.045,0.0225,0.045,0.095,0.6975
69,0.07,0.035,0.075,0.01875,0.03,0.05625,0.715
70,0.025,0.01,0.005,0.005,0.035,0.015,0.905
71,0.02,0.02,0.03,0.045,0.015,0.01,0.86
72,0.02,0.02,0.04,0.01,0.01,0.145,0.755
73,0.035,0.0,0.005,0.005,0.035,0.08,0.84
74,0.025,0.01,0.035,0.02,0.045,0.04,0.825
75,0.01,0.005,0.095,0.01,0.015,0.015,0.85
76,0.015,0.06,0.045,0.015,0.015,0.0675,0.7825
77,0.0,0.0,0.01,0.005,0.005,0.0,0.98
78,0.09,0.035,0.375,0.035,0.03,0.04833333333333333,0.38666666666666666
79,0.045,0.035,0.015,0.02,0.195,0.0,0.69
80,0.04,0.005,0.015,0.025,0.045,0.085,0.785
81,0.03,0.025,0.025,0.06,0.01,0.0875,0.7625
82,0.0,0.015,0.025,0.04,0.0,0.115,0.805
83,0.07166666666666666,0.005,0.04333333333333333,0.13,0.03,0.02,0.7
84,0.0675,0.015,0.1025,0.045,0.02,0.065,0.685
85,0.05166666666666666,0.005,0.028333333333333332,0.0,0.05,0.035,0.83
86,0.015,0.015,0.025,0.0225,0.055,0.8425,0.025
87,0.12,0.07,0.045,0.035,0.02,0.68,0.03
88,0.05,0.045,0.085,0.05,0.0,0.72,0.05
89,0.075,0.07,0.065,0.02,0.04,0.705,0.025
90,0.0,0.0,0.0,0.0,0.0,0.99,0.01
91,0.115,0.065,0.04,0.025,0.08,0.63,0.045
92,0.0,0.005,0.0,0.025,0.0,0.965,0.005
93,0.03,0.07,0.07,0.075,0.005,0.68,0.07
94,0.045,0.085,0.05,0.02,0.065,0.675,0.06
95,0.055,0.025,0.075,0.0475,0.03,0.7070000000000001,0.0605
96,0.005,0.025,0.05,0.015,0.025,0.76,0.12
97,0.0,0.0,0.0,0.0,0.0,0.99,0.01
98,0.08,0.02,0.76,0.03,0.045,0.025,0.04
99,0.015,0.01,0.78,0.015,0.01,0.04,0.13
100,0.195,0.02,0.64,0.03,0.02,0.04,0.055
101,0.0475,0.085,0.7625,0.015,0.005,0.025,0.06
102,0.02,0.06,0.705,0.03,0.005,0.02,0.16
103,0.0975,0.025,0.7475,0.035,0.04,0.02,0.035
104,0.01,0.2,0.73,0.02,0.015,0.02,0.005
105,0.04,0.095,0.775,0.015,0.01,0.01,0.055
106,0.016666666666666666,0.085,0.6733333333333335,0.025,0.005,0.037083333333333336,0.15791666666666665
107,0.1875,0.385,0.1975,0.075,0.08,0.065,0.01
108,0.4675,0.015,0.2225,0.07,0.065,0.065,0.095
109,0.115,0.04,0.035,0.675,0.055,0.04,0.04
110,0.29,0.36,0.125,0.055,0.085,0.005,0.08
111,0.045,0.375,0.075,0.25666666666666665,0.025,0.15833333333333333,0.065
112,0.075,0.035,0.025,0.8140000000000001,0.015,0.026000000000000002,0.01
113,0.01,0.005,0.015,0.945,0.01,0.0,0.015
114,0.015,0.02,0.02,0.865,0.01,0.02,0.05
115,0.1,0.055,0.02,0.79,0.005,0.03,0.0
116,0.005,0.015,0.03,0.7083333333333335,0.015,0.15666666666666665,0.07
117,0.14,0.05,0.01,0.75,0.005,0.02,0.025
118,0.025,0.02,0.015,0.865,0.0,0.02,0.055
119,0.075,0.05,0.105,0.68,0.025,0.03,0.035
120,0.13,0.045,0.005,0.715,0.08,0.01,0.015
121,0.085,0.05,0.015,0.005,0.775,0.015,0.055
122,0.035,0.02,0.015,0.0,0.895,0.01,0.025
123,0.06,0.01,0.01,0.02,0.875,0.01,0.015
124,0.02,0.01,0.005,0.005,0.935,0.015,0.01
125,0.065,0.015,0.005,0.06,0.82,0.03,0.005
126,0.55,0.02,0.085,0.04,0.24,0.02,0.045
127,0.405,0.09,0.095,0.035,0.295,0.04,0.04
128,0.025,0.03,0.005,0.01,0.915,0.0,0.015
129,0.10333333333333332,0.03666666666666667,0.075,0.02,0.74,0.005,0.02
130,0.08,0.06,0.015,0.005,0.76,0.045,0.035
131,0.06,0.01,0.02,0.005,0.87,0.02,0.015
132,0.04,0.02,0.035,0.005,0.855,0.025,0.02
133,0.02,0.925,0.01,0.005,0.03,0.01,0.0
134,0.13,0.66,0.06,0.03,0.03,0.01,0.08
135,0.11,0.69,0.065,0.025,0.08,0.02,0.01
136,0.13,0.56,0.075,0.1,0.045,0.06,0.03
137,0.025,0.905,0.03,0.015,0.01,0.01,0.005
138,0.055,0.71,0.045,0.085,0.01,0.08,0.015
139,0.265,0.355,0.09,0.03,0.12,0.105,0.035
140,0.05,0.635,0.2,0.018000000000000002,0.01,0.07200000000000001,0.015
141,0.055,0.77,0.05,0.04,0.035,0.04,0.01
142,0.065,0.615,0.05,0.05,0.115,0.045,0.06
143,0.045,0.84,0.025,0.04,0.03,0.015,0.005
144,0.005,0.73,0.01,0.065,0.01,0.165,0.015
145,0.07666666666666666,0.7283333333333334,0.07,0.03,0.02,0.04,0.035
146,0.0775,0.7375,0.05,0.05,0.005,0.065,0.015
147,0.005,0.94,0.02,0.01,0.005,0.015,0.005
148,0.04,0.885,0.01,0.035,0.005,0.025,0.0
149,0.105,0.805,0.02,0.035,0.02,0.01,0.005
150,0.11875,0.715,0.02625,0.02,0.06,0.03,0.03
151,0.065,0.72,0.05,0.02,0.105,0.015,0.025
152,0.03875,0.0,0.07125,0.005,0.015,0.01,0.86
153,0.17,0.08,0.135,0.02,0.08,0.11,0.405
154,0.1025,0.025,0.0575,0.024,0.57,0.086,0.135
155,0.0,0.0,0.015,0.0,0.0,0.02,0.965
156,0.095,0.105,0.165,0.0695,0.01,0.5025,0.053
157,0.03,0.025,0.045,0.01,0.01,0.02,0.86
158,0.16125,0.045,0.18375,0.01075,0.05,0.03841666666666667,0.5108333333333333
159,0.045,0.045,0.08,0.035,0.035,0.05,0.71
160,0.04,0.03,0.06,0.0016666666666666666,0.03,0.0025,0.8358333333333333
161,0.15,0.06,0.11,0.295,0.09,0.215,0.08
162,0.085,0.035,0.755,0.0,0.005,0.0,0.12
163,0.14,0.05,0.695,0.03,0.01,0.01,0.065
164,0.025,0.035,0.725,0.013333333333333332,0.005,0.03,0.16666666666666663
165,0.19,0.025,0.755,0.005,0.005,0.005,0.015
166,0.265,0.015,0.67,0.01,0.02,0.01,0.01
167,0.07,0.075,0.72,0.04,0.055,0.015,0.025
168,0.065,0.02,0.77,0.0375,0.01,0.0225,0.075
169,0.045,0.25,0.02,0.635,0.005,0.025,0.02
170,0.015,0.11,0.105,0.725,0.0,0.03,0.015
171,0.005,0.03,0.03,0.925,0.0,0.005,0.005
172,0.125,0.135,0.165,0.08625,0.055,0.265,0.16875
173,0.005,0.03,0.03,0.925,0.0,0.005,0.005
174,0.07,0.035,0.05,0.675,0.165,0.0,0.005
175,0.125,0.145,0.045,0.62,0.035,0.01,0.02
176,0.27,0.465,0.055,0.105,0.045,0.05,0.01
177,0.01,0.01,0.0,0.005,0.975,0.0,0.0
178,0.115,0.045,0.035,0.01,0.645,0.045,0.105
179,0.1975,0.035,0.2025,0.04083333333333333,0.09,0.26916666666666667,0.165
180,0.01,0.005,0.01,0.0,0.965,0.0,0.01
181,0.035,0.08,0.03,0.06,0.66,0.09,0.045
182,0.03,0.005,0.005,0.005,0.935,0.0,0.02
183,0.133,0.015,0.16699999999999998,0.0,0.635,0.0,0.05
184,0.08,0.88,0.0,0.02,0.01,0.0,0.01
185,0.11666666666666668,0.69,0.11833333333333332,0.01,0.01,0.035,0.02
186,0.005,0.95,0.0,0.02,0.01,0.01,0.005
187,0.085,0.015,0.025,0.01,0.13,0.02,0.715
188,0.04,0.12,0.06,0.02,0.02,0.035,0.705
189,0.07642857142857143,0.0,0.06857142857142857,0.01,0.0,0.02,0.825
190,0.05,0.005,0.085,0.04,0.075,0.04,0.705
191,0.0,0.02,0.025,0.01,0.005,0.45591666666666664,0.4840833333333333
192,0.04666666666666666,0.01,0.06833333333333333,0.02,0.015,0.04583333333333334,0.7941666666666666
193,0.01,0.005,0.04,0.015,0.005,0.02,0.905
194,0.11,0.065,0.04,0.01,0.04,0.045,0.69
195,0.03,0.005,0.03,0.015,0.14,0.04,0.74
196,0.01,0.005,0.035,0.015,0.01,0.035,0.89
197,0.03,0.03,0.06,0.055,0.01,0.07,0.745
198,0.13,0.005,0.1,0.04,0.035,0.005,0.685
199,0.05,0.035,0.08,0.015,0.005,0.045,0.77
200,0.01,0.0,0.02,0.008125,0.0,0.011875,0.95
201,0.01,0.01,0.045,0.005,0.015,0.055,0.86
202,0.015,0.005,0.085,0.0175,0.005,0.06,0.8125
203,0.015,0.21,0.06,0.05,0.005,0.635,0.025
204,0.0,0.0,0.015,0.015,0.015,0.75,0.205
205,0.015,0.005,0.07,0.06833333333333333,0.02,0.7666666666666666,0.055
206,0.0,0.02,0.025,0.01,0.005,0.45591666666666664,0.4840833333333333
207,0.25666666666666665,0.04,0.2783333333333333,0.185,0.06,0.09,0.09
208,0.0,0.01,0.02,0.23,0.025,0.685,0.03
209,0.175,0.045,0.625,0.02,0.075,0.01,0.05
210,0.1733333333333333,0.04,0.6516666666666667,0.07,0.015,0.015,0.035
211,0.16,0.05,0.72,0.015,0.01,0.005,0.04
212,0.05833333333333333,0.005,0.8416666666666667,0.00625,0.005,0.0,0.08375
213,0.16,0.005,0.73,0.01,0.05,0.015,0.03
214,0.045,0.01,0.78,0.015,0.065,0.04,0.045
215,0.13833333333333334,0.11,0.6266666666666666,0.045,0.005,0.07,0.005
216,0.2,0.015,0.695,0.02,0.045,0.015,0.01
217,0.07833333333333334,0.01,0.7716666666666666,0.02,0.01,0.0325,0.0775
218,0.0475,0.03,0.7775,0.005,0.01,0.025,0.105
219,0.075,0.035,0.85,0.025,0.005,0.005,0.005
220,0.05,0.08,0.66,0.045,0.01,0.025,0.13
221,0.055,0.04,0.82,0.04,0.01,0.02,0.015
222,0.045,0.01,0.78,0.015,0.065,0.04,0.045
223,0.2533333333333333,0.145,0.026666666666666665,0.215,0.105,0.185,0.07
224,0.2533333333333333,0.145,0.026666666666666665,0.215,0.105,0.185,0.07
225,0.005,0.01,0.015,0.64,0.025,0.275,0.03
226,0.015,0.025,0.045,0.7825,0.01,0.1075,0.015
227,0.03,0.01,0.02,0.0,0.795,0.085,0.06
228,0.14,0.07,0.055,0.02,0.65,0.035,0.03
229,0.18,0.015,0.045,0.025,0.725,0.0,0.01
230,0.18,0.045,0.075,0.01,0.675,0.015,0.0
231,0.04,0.015,0.015,0.0,0.885,0.0,0.045
232,0.0,0.0,0.01,0.01,0.98,0.0,0.0
233,0.005,0.005,0.02,0.0,0.955,0.015,0.0
234,0.15,0.09,0.035,0.0225,0.66,0.0225,0.02
235,0.025,0.01,0.01,0.01,0.905,0.01,0.03
236,0.005,0.0,0.005,0.005,0.975,0.005,0.005
237,0.185,0.005,0.03,0.02,0.755,0.005,0.0
238,0.085,0.025,0.02,0.015,0.76,0.005,0.09
239,0.03,0.845,0.015,0.06,0.01,0.04,0.0
240,0.08,0.79,0.025,0.035,0.015,0.05,0.005
241,0.04,0.845,0.02,0.0,0.055,0.035,0.005
242,0.055,0.845,0.04,0.025,0.01,0.005,0.02
243,0.05,0.755,0.085,0.045,0.005,0.04,0.02
244,0.11,0.71,0.075,0.015,0.045,0.025,0.02
245,0.12,0.695,0.05,0.035,0.05,0.03,0.02
246,0.045,0.81,0.06,0.03,0.04,0.01,0.005
247,0.02,0.91,0.02,0.025,0.0,0.02,0.005
248,0.12,0.75,0.01,0.005,0.09,0.015,0.01
249,0.085,0.795,0.015,0.035,0.04,0.02,0.01
250,0.12,0.7,0.045,0.02,0.0,0.045,0.07
251,0.005,0.975,0.0,0.005,0.01,0.005,0.0
252,0.015,0.865,0.025,0.045,0.02,0.02,0.01
253,0.045,0.235,0.18,0.09,0.06,0.295,0.095
254,0.015,0.005,0.035,0.065,0.005,0.86,0.015
255,0.015,0.0,0.025,0.0,0.03,0.8,0.13
256,0.01,0.0,0.02,0.0,0.01,0.705,0.255
257,0.01,0.075,0.025,0.055,0.005,0.725,0.105
258,0.1225,0.015,0.1175,0.035,0.055,0.62,0.035
259,0.115,0.015,0.025,0.015,0.135,0.675,0.02
260,0.22666666666666668,0.015,0.06833333333333333,0.03,0.01,0.645,0.005
261,0.285,0.34,0.065,0.0725,0.11,0.0875,0.04
262,0.015,0.04,0.045,0.02,0.015,0.81,0.055
263,0.06,0.035,0.015,0.025,0.01,0.795,0.06
264,0.0225,0.02,0.0775,0.01,0.035,0.685,0.15
265,0.075,0.03,0.075,0.025,0.015,0.745,0.035
266,0.02,0.06,0.81,0.03,0.015,0.015,0.05
267,0.13,0.055,0.065,0.595,0.025,0.105,0.025
268,0.055,0.035,0.005,0.01,0.855,0.02,0.02
269,0.07,0.03,0.025,0.02,0.8,0.025,0.03
270,0.135,0.695,0.03,0.005,0.11,0.02,0.005
271,0.085,0.015,0.055,0.02,0.02,0.03,0.775
272,0.06,0.015,0.135,0.125,0.01,0.23,0.425
273,0.03,0.01,0.02,0.03,0.025,0.03,0.855
274,0.02,0.045,0.055,0.025,0.055,0.09,0.71
275,0.015,0.04,0.055,0.035,0.005,0.115,0.735
276,0.08,0.025,0.1,0.035,0.06,0.02,0.68
277,0.17,0.075,0.405,0.075,0.085,0.085,0.105
278,0.0,0.01,0.025,0.045,0.0,0.07,0.85
279,0.045,0.04,0.065,0.07,0.025,0.175,0.58
280,0.05,0.045,0.175,0.02861111111111111,0.005,0.37633333333333335,0.3200555555555556
281,0.1,0.075,0.035,0.005,0.035,0.69,0.06
282,0.015,0.02,0.025,0.018333333333333333,0.01,0.8216666666666665,0.09
283,0.1,0.07,0.03,0.045,0.045,0.69,0.02
284,0.075,0.04,0.075,0.025,0.04,0.715,0.03
285,0.07,0.395,0.155,0.10300000000000001,0.015,0.127,0.135
286,0.06,0.04,0.77,0.04,0.005,0.015,0.07
287,0.095,0.1,0.56,0.075,0.09,0.07,0.01
288,0.04,0.275,0.23,0.145,0.05,0.175,0.085
289,0.08,0.005,0.83,0.02,0.025,0.015,0.025
290,0.18233333333333335,0.012666666666666666,0.735,0.015,0.025,0.005,0.025
291,0.28,0.03,0.22,0.04,0.08,0.0425,0.3075
292,0.145,0.01,0.8,0.01,0.025,0.005,0.005
293,0.145,0.035,0.625,0.04,0.03,0.055,0.07
294,0.155,0.065,0.13,0.03,0.305,0.0425,0.2725
295,0.18,0.065,0.165,0.055,0.345,0.1,0.09
296,0.05,0.015,0.82,0.055,0.02,0.035,0.005
297,0.03,0.005,0.845,0.025,0.025,0.045,0.025
298,0.015,0.05,0.165,0.645,0.0,0.03625,0.08875
299,0.14,0.14,0.115,0.455,0.04,0.075,0.035
300,0.11333333333333333,0.025,0.04666666666666666,0.68,0.035,0.08,0.02
301,0.015,0.08,0.0,0.83,0.01,0.06,0.005
302,0.055,0.025,0.005,0.02,0.88,0.005,0.01
303,0.015,0.005,0.0,0.005,0.955,0.015,0.005
304,0.06,0.015,0.015,0.015,0.86,0.03,0.005
305,0.105,0.045,0.04,0.01,0.78,0.005,0.015
306,0.125,0.01,0.015,0.0,0.835,0.01,0.005
307,0.23,0.04,0.03,0.01,0.675,0.005,0.01
308,0.03,0.015,0.035,0.01,0.86,0.04,0.01
309,0.045,0.025,0.035,0.005,0.87,0.01,0.01
310,0.04,0.025,0.005,0.0,0.905,0.01,0.015
311,0.023333333333333334,0.0,0.006666666666666666,0.005,0.935,0.02,0.01
312,0.02,0.95,0.03,0.0,0.0,0.0,0.0
313,0.035,0.66,0.07,0.05,0.11,0.02,0.055
314,0.04,0.845,0.02,0.06,0.005,0.02,0.01
315,0.08,0.68,0.035,0.025,0.135,0.035,0.01
316,0.115,0.61,0.045,0.025,0.12,0.045,0.04
317,0.01,0.695,0.065,0.15,0.01,0.05,0.02
318,0.0375,0.765,0.0525,0.02,0.015,0.055,0.055
319,0.04,0.85,0.03,0.02,0.01,0.045,0.005
320,0.035,0.8,0.07,0.03,0.005,0.03,0.03
321,0.035,0.815,0.02,0.06,0.03,0.015,0.025
322,0.03,0.785,0.04,0.03,0.01,0.08,0.025
323,0.4,0.145,0.075,0.06333333333333334,0.22,0.03,0.06666666666666667
324,0.1465,0.6385000000000001,0.07,0.025,0.06,0.04,0.02
325,0.035,0.765,0.115,0.04,0.02,0.02,0.005
326,0.025,0.865,0.03,0.035,0.005,0.03,0.01
327,0.060833333333333336,0.66,0.12916666666666668,0.01,0.035,0.055,0.05
328,0.03,0.015,0.055,0.0,0.005,0.028333333333333332,0.8666666666666666
329,0.026666666666666665,0.015,0.09833333333333333,0.01,0.005,0.035,0.81
330,0.03625,0.0,0.03875,0.005,0.0,0.0175,0.9025
331,0.025,0.0,0.05,0.02,0.02,0.05,0.835
332,0.016666666666666666,0.015,0.02333333333333333,0.0,0.045,0.06333333333333332,0.8366666666666666
333,0.0575,0.015,0.1525,0.015,0.065,0.01,0.685
334,0.015,0.0,0.015,0.0,0.04,0.075,0.855
335,0.065,0.01,0.79,0.03,0.01,0.015,0.08
336,0.015,0.0,0.935,0.01,0.01,0.005,0.025
337,0.04,0.025,0.72,0.03,0.035,0.0125,0.1375
338,0.0525,0.13,0.7425,0.035,0.0,0.015,0.025
339,0.135,0.01,0.74,0.005,0.04,0.015,0.055
340,0.11,0.025,0.79,0.015,0.01,0.03,0.02
341,0.085,0.08,0.725,0.015,0.07,0.01,0.015
342,0.05,0.025,0.85,0.0,0.01,0.035,0.03
343,0.055,0.035,0.735,0.01,0.055,0.09,0.02
344,0.155,0.02,0.04,0.695,0.04,0.01,0.04
345,0.08,0.02,0.025,0.8225,0.02,0.0175,0.015
346,0.02,0.15,0.045,0.685,0.005,0.08,0.015
347,0.025,0.265,0.035,0.62,0.015,0.02,0.02
348,0.18,0.065,0.04,0.0225,0.495,0.135,0.0625
349,0.06,0.03,0.03,0.04,0.77,0.04,0.03
350,0.04,0.025,0.005,0.01,0.905,0.005,0.01
351,0.095,0.035,0.02,0.04,0.73,0.02,0.06
352,0.02,0.015,0.005,0.0,0.96,0.0,0.0
353,0.035,0.0,0.02,0.0,0.905,0.015,0.025
354,0.165,0.04,0.04,0.01,0.725,0.005,0.015
355,0.06,0.03,0.135,0.005,0.7,0.035,0.035
356,0.03,0.005,0.005,0.02,0.9,0.025,0.015
357,0.015,0.02,0.005,0.01,0.94,0.01,0.0
358,0.04,0.015,0.015,0.03,0.82,0.04,0.04
359,0.005,0.03,0.02,0.0,0.93,0.0,0.015
360,0.02,0.81,0.045,0.04,0.02,0.02,0.045
361,0.015,0.935,0.01,0.02,0.01,0.01,0.0
362,0.035,0.93,0.015,0.005,0.005,0.005,0.005
363,0.19,0.285,0.105,0.12,0.24,0.03,0.03
364,0.02,0.855,0.025,0.03,0.02,0.04,0.01
365,0.14,0.68,0.095,0.015,0.045,0.015,0.01
366,0.02,0.845,0.025,0.055,0.005,0.045,0.005
367,0.035,0.625,0.1,0.04,0.015,0.035,0.15
368,0.03,0.835,0.025,0.05,0.05,0.01,0.0
369,0.0,0.845,0.015,0.055,0.005,0.055,0.025
370,0.035,0.855,0.03,0.015,0.015,0.045,0.005
371,0.025,0.715,0.075,0.06,0.005,0.1,0.02
372,0.02,0.005,0.12,0.01,0.0,0.025,0.82
373,0.02,0.005,0.03,0.02,0.0,0.13875,0.78625
374,0.01,0.005,0.025,0.01,0.005,0.03333333333333333,0.9116666666666666
375,0.05,0.055,0.055,0.02875,0.1,0.66625,0.045
376,0.075,0.105,0.075,0.2,0.07,0.45,0.025
377,0.015,0.075,0.095,0.04,0.02,0.71,0.045
378,0.04,0.035,0.74,0.015,0.04,0.085,0.045
379,0.10800000000000001,0.03,0.6970000000000001,0.005,0.03,0.0175,0.1125
380,0.15083333333333335,0.115,0.2941666666666667,0.04,0.05,0.11,0.24
381,0.045,0.115,0.025,0.725,0.025,0.04,0.025
382,0.035,0.03,0.055,0.02,0.1,0.11,0.65
383,0.03,0.01,0.01,0.015,0.005,0.005,0.925
384,0.01,0.03,0.08,0.01,0.01,0.83,0.03
385,0.005,0.0,0.005,0.0,0.18,0.68,0.13
386,0.02,0.035,0.075,0.016666666666666666,0.015,0.7283333333333334,0.11
387,0.025,0.06,0.015,0.73,0.08,0.03,0.06
388,0.065,0.035,0.055,0.01,0.745,0.05,0.04
389,0.06,0.005,0.025,0.005,0.87,0.015,0.02
